case,method,min_interval,max_interval,nominal_min_rate,nominal_max_rate,n_total,n_sampled,sample_ratio,max_gap,mean_gap,p95_gap,nrmse_mean,correlation,peak_recall_top1,peak_recall_top2,peak_recall_top5,peak_recall_top10,peak_recall_top20
redis_tx_bytes,omniflow,20,20,0.05,0.05,1604068,80204,0.050000374048980466,20,20.0,20.0,0.017215008193132833,0.20681501993993373,0.047506234413965086,0.04900096630404289,0.04981110432278094,0.04988591449197661,0.05007278383357283
redis_tx_bytes,huang_wavelet_rate_inspired,20,20,0.05,0.05,1604068,100254,0.062499844146258136,35,16.000189520513104,21.0,0.017581680194707516,0.21717244648546646,0.06290523690773067,0.061064181291106884,0.06134433874044612,0.06131316783661459,0.06205795899792091
redis_tx_bytes,magalhaes_truncated_exponential_inspired,20,20,0.05,0.05,1604068,80204,0.050000374048980466,20,20.0,20.0,0.017215008193132833,0.20681501993993373,0.047506234413965086,0.04900096630404289,0.04981110432278094,0.04988591449197661,0.05007278383357283
redis_tx_bytes,fixed_slow_boundary,20,20,0.05,0.05,1604068,80204,0.050000374048980466,20,20.0,20.0,0.017215008193132833,0.20681501993993373,0.047506234413965086,0.04900096630404289,0.04981110432278094,0.04988591449197661,0.05007278383357283
redis_tx_bytes,omniflow,19,20,0.05,0.05263157894736842,1604068,84248,0.05252146417732914,20,19.039823376500053,19.0,0.017387861247003603,0.21405448004278002,0.05249376558603491,0.05345843334060659,0.05190578906025959,0.05250427041382492,0.05273477072313154
redis_tx_bytes,huang_wavelet_rate_inspired,19,20,0.05,0.05263157894736842,1604068,100254,0.062499844146258136,35,16.000189520513104,21.0,0.017581680194707516,0.21717244648546646,0.06290523690773067,0.061064181291106884,0.06134433874044612,0.06131316783661459,0.06205795899792091
redis_tx_bytes,magalhaes_truncated_exponential_inspired,19,20,0.05,0.05263157894736842,1604068,81996,0.05111753367064239,20,19.562827001646443,20.0,0.01714373491371485,0.2132409708643191,0.0493142144638404,0.04859574202799165,0.050459459122476714,0.05059037691856913,0.05109830337299299
redis_tx_bytes,fixed_slow_boundary,19,20,0.05,0.05263157894736842,1604068,80204,0.050000374048980466,20,20.0,20.0,0.017215008193132833,0.20681501993993373,0.047506234413965086,0.04900096630404289,0.04981110432278094,0.04988591449197661,0.05007278383357283
redis_tx_bytes,fixed_fast_boundary,19,20,0.05,0.05263157894736842,1604068,84425,0.05263180862656695,19,19.0,19.0,0.017483561544722664,0.21705584505426373,0.051932668329177055,0.05271032698481967,0.05240452352156403,0.052591548944553194,0.05245735054377472
redis_tx_bytes,omniflow,18,20,0.05,0.05555555555555555,1604068,88652,0.05526698369395811,20,18.094088053152248,19.0,0.017656467817652798,0.2119515093418944,0.057356608478802994,0.05673139864717434,0.05583332294303205,0.056107626896749495,0.055702231518049455
redis_tx_bytes,huang_wavelet_rate_inspired,18,20,0.05,0.05555555555555555,1604068,100254,0.062499844146258136,35,16.000189520513104,21.0,0.017581680194707516,0.21717244648546646,0.06290523690773067,0.061064181291106884,0.06134433874044612,0.06131316783661459,0.06205795899792091
redis_tx_bytes,magalhaes_truncated_exponential_inspired,18,20,0.05,0.05555555555555555,1604068,83869,0.052285189904667385,20,19.126031382648925,20.0,0.017276279516226966,0.2174675396504162,0.04993765586034913,0.05009195473956547,0.05017268680722666,0.051357181152824706,0.052532160479781057
redis_tx_bytes,fixed_slow_boundary,18,20,0.05,0.05555555555555555,1604068,80204,0.050000374048980466,20,20.0,20.0,0.017215008193132833,0.20681501993993373,0.047506234413965086,0.04900096630404289,0.04981110432278094,0.04988591449197661,0.05007278383357283
redis_tx_bytes,fixed_fast_boundary,18,20,0.05,0.05555555555555555,1604068,89115,0.05555562482388527,18,18.0,18.0,0.01769715760505411,0.21512864376829297,0.05592269326683292,0.054829961659549266,0.05503534780494495,0.055926835654526635,0.055752104808720344
redis_tx_bytes,omniflow,17,20,0.05,0.058823529411764705,1604068,93448,0.05825688187782563,20,17.165494879450385,18.0,0.01721928550408982,0.2224888348838272,0.057356608478802994,0.056980767432436644,0.05821477999576076,0.0589441791454185,0.058654106909632714
redis_tx_bytes,huang_wavelet_rate_inspired,17,20,0.05,0.058823529411764705,1604068,100255,0.06250046756122558,21,16.000029923993058,21.0,0.017581680194707516,0.21717244648546646,0.06290523690773067,0.061064181291106884,0.06134433874044612,0.06131316783661459,0.06205795899792091
redis_tx_bytes,magalhaes_truncated_exponential_inspired,17,20,0.05,0.058823529411764705,1604068,85897,0.05354947545864639,20,18.67442022911428,20.0,0.017283912946493955,0.22116926182036703,0.04744389027431421,0.04850222873351828,0.05102053539144421,0.052273605725471614,0.05458319955862138
redis_tx_bytes,fixed_slow_boundary,17,20,0.05,0.058823529411764705,1604068,80204,0.050000374048980466,20,20.0,20.0,0.017215008193132833,0.20681501993993373,0.047506234413965086,0.04900096630404289,0.04981110432278094,0.04988591449197661,0.05007278383357283
redis_tx_bytes,fixed_fast_boundary,17,20,0.05,0.058823529411764705,1604068,94357,0.05882356608323338,17,17.0,17.0,0.01735247865167111,0.21677897281851835,0.05829177057356608,0.0586640067329572,0.05969851501814147,0.05869481191476628,0.058968932056992704
redis_tx_bytes,omniflow,16,20,0.05,0.0625,1604068,98851,0.061625192946932424,20,16.227212948912495,17.0,0.01715116486546489,0.22992408270943515,0.06408977556109725,0.06299678937688975,0.06224206077079411,0.06263481415907135,0.06201743694925081
redis_tx_bytes,huang_wavelet_rate_inspired,16,20,0.05,0.0625,1604068,100255,0.06250046756122558,21,16.000029923993058,21.0,0.017581680194707516,0.21717244648546646,0.06290523690773067,0.061064181291106884,0.06134433874044612,0.06131316783661459,0.06205795899792091
redis_tx_bytes,magalhaes_truncated_exponential_inspired,16,20,0.05,0.0625,1604068,87881,0.05478633075405781,20,18.25275375512062,20.0,0.01728563841825787,0.22038606461855256,0.05087281795511222,0.05130762756771921,0.05493560091268406,0.05573981023153747,0.05612303740808509
redis_tx_bytes,fixed_slow_boundary,16,20,0.05,0.0625,1604068,80204,0.050000374048980466,20,20.0,20.0,0.017215008193132833,0.20681501993993373,0.047506234413965086,0.04900096630404289,0.04981110432278094,0.04988591449197661,0.05007278383357283
redis_tx_bytes,fixed_fast_boundary,16,20,0.05,0.0625,1604068,100255,0.06250046756122558,16,16.0,16.0,0.017365559171598554,0.2260914317451833,0.06153366583541147,0.06327732926030984,0.0644988342081967,0.06252883308604416,0.06260033103396682
redis_tx_bytes,omniflow,15,20,0.05,0.06666666666666667,1604068,104771,0.06531580955420843,20,15.310279660208074,17.0,0.016939155661368794,0.24001521366514156,0.06558603491271821,0.06686200554845548,0.06549630313080558,0.06651247459571338,0.06639693528628828
redis_tx_bytes,huang_wavelet_rate_inspired,15,20,0.05,0.06666666666666667,1604068,125318,0.07812511689030639,18,12.80007500977521,16.0,0.017487363167944164,0.24693112176365545,0.0766209476309227,0.07789657429631246,0.07897460194755807,0.077646721444335,0.07807663654527716
redis_tx_bytes,magalhaes_truncated_exponential_inspired,15,20,0.05,0.06666666666666667,1604068,89626,0.055874189872249805,20,17.897405857740587,20.0,0.01719219376223746,0.22531100983545183,0.058541147132169576,0.05564041021165176,0.05710509581935838,0.056288418138972354,0.05634123305477023
redis_tx_bytes,fixed_slow_boundary,15,20,0.05,0.06666666666666667,1604068,80204,0.050000374048980466,20,20.0,20.0,0.017215008193132833,0.20681501993993373,0.047506234413965086,0.04900096630404289,0.04981110432278094,0.04988591449197661,0.05007278383357283
redis_tx_bytes,fixed_fast_boundary,15,20,0.05,0.06666666666666667,1604068,106938,0.06666674978866233,15,15.0,15.0,0.017006009555170207,0.23953034462943054,0.06751870324189527,0.06695551884292883,0.06705484832238195,0.06640025934191988,0.06668682378831282
redis_tx_bytes,omniflow,14,20,0.05,0.07142857142857142,1604068,111497,0.06950889862524531,20,14.386623735380642,16.0,0.017161875930713846,0.2491685546974084,0.06876558603491272,0.06988560206976092,0.07055845791304564,0.07114447090507836,0.07113178081935582
redis_tx_bytes,huang_wavelet_rate_inspired,14,20,0.05,0.07142857142857142,1604068,125318,0.07812511689030639,18,12.80007500977521,16.0,0.017487363167944164,0.24693112176365545,0.0766209476309227,0.07789657429631246,0.07897460194755807,0.077646721444335,0.07807663654527716
redis_tx_bytes,magalhaes_truncated_exponential_inspired,14,20,0.05,0.07142857142857142,1604068,91742,0.057193335943363996,20,17.484723297108165,20.0,0.017004900258926155,0.2285583963794575,0.05629675810473816,0.05607680558586079,0.05658142463498872,0.05747914666533671,0.058024456614912734
redis_tx_bytes,fixed_slow_boundary,14,20,0.05,0.07142857142857142,1604068,80204,0.050000374048980466,20,20.0,20.0,0.017215008193132833,0.20681501993993373,0.047506234413965086,0.04900096630404289,0.04981110432278094,0.04988591449197661,0.05007278383357283
redis_tx_bytes,fixed_fast_boundary,14,20,0.05,0.07142857142857142,1604068,114577,0.07142901672497674,14,14.0,14.0,0.016748856881819204,0.25269554083081835,0.0699501246882793,0.071787039057386,0.07129409124346969,0.07159956610101867,0.0713749131113764
redis_tx_bytes,omniflow,13,20,0.05,0.07692307692307693,1604068,119198,0.07430981728954134,20,13.457243051419079,15.0,0.017300050906779493,0.2480289773842901,0.07468827930174564,0.07443658240079798,0.07567048614141615,0.07599466354126404,0.07629366640379287
redis_tx_bytes,huang_wavelet_rate_inspired,13,20,0.05,0.07692307692307693,1604068,125318,0.07812511689030639,18,12.80007500977521,16.0,0.017487363167944164,0.24693112176365545,0.0766209476309227,0.07789657429631246,0.07897460194755807,0.077646721444335,0.07807663654527716
redis_tx_bytes,magalhaes_truncated_exponential_inspired,13,20,0.05,0.07692307692307693,1604068,93924,0.058553627402329576,20,17.078532414850464,20.0,0.01696124827268786,0.23755468166648155,0.05592269326683292,0.0542065396963935,0.05835193197261948,0.05870104609553259,0.06017524227509484
redis_tx_bytes,fixed_slow_boundary,13,20,0.05,0.07692307692307693,1604068,80204,0.050000374048980466,20,20.0,20.0,0.017215008193132833,0.20681501993993373,0.047506234413965086,0.04900096630404289,0.04981110432278094,0.04988591449197661,0.05007278383357283
